Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Domidest,@Domidest,2024-11-20T08:24:34.000Z,False,"When the borderline between Gaza & Egypt is like a fortress, how do you explain this “chicken fence” along the Israeli boundary ?!?!?",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1853473393418334208/BjyPtdK-_bigger.jpg,https://x.com/Domidest/status/1859150833239134383,tweet_id:1859150833239134383
CarlosAPG,@carlosg93591582,2024-11-20T08:24:33.000Z,False,"Yes, Gaza out…",0,0,0,0,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/carlosg93591582/status/1859150827782357437,tweet_id:1859150827782357437
V PALESTINE,@V_Palestine20,2024-11-20T08:24:33.000Z,False,"Palestine supporters staged a protest at a McDonald's in Paris, urging people to boycott the chain for its complicity in the Israeli genocide in Gaza.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1509265141606588422/NlAuDdqn_bigger.jpg,https://x.com/V_Palestine20/status/1859150827648143551,tweet_id:1859150827648143551
Lew Anno Suport#Israel #Ukraine 24/2-22,@anno1540,2024-11-20T08:24:31.000Z,True,Casualties as of November 19th 2024. From .bsky.social.,0,0,0,0,[],['@euromaidanpress'],[],https://pbs.twimg.com/profile_images/1774863258375098368/oqVnZ0Os_bigger.jpg,https://x.com/anno1540/status/1859150821251809406,tweet_id:1859150821251809406
Ari Z,@officialalizee,2024-11-20T08:24:31.000Z,False,There is no TV or electricity in Gaza. No one knows about the reward. So stop lying and spouting hate. People are busy trying not to die. Also most hostages are dead by Israeli missiles on buildings.,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1393944785824755716/87WmYjhR_bigger.jpg,https://x.com/officialalizee/status/1859150820299681988,tweet_id:1859150820299681988
Equeen Love,@NENEMUPIYA,2024-11-20T08:24:30.000Z,False,As expected...the world is trying to fight Israel,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1802698168921882624/2aVrDmGp_bigger.png,https://x.com/NENEMUPIYA/status/1859150816273109421,tweet_id:1859150816273109421
PALESTINE ONLINE,@OnlinePalEng,2024-11-20T08:24:26.000Z,True,"Palestine supporters staged a protest at a McDonald's in Paris, urging people to boycott the chain for its complicity in the Israeli genocide in Gaza.",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1711798879178379264/J-f5ZFCB_bigger.jpg,https://x.com/OnlinePalEng/status/1859150800993346022,tweet_id:1859150800993346022
Hakan,@Rebelty_8,2024-11-20T08:24:24.000Z,False,Who is going to stop israel now.  Iran is chickening out !!,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1826578523290525696/Fqq6jc7H_bigger.jpg,https://x.com/Rebelty_8/status/1859150792365654124,tweet_id:1859150792365654124
Israel Lannister,@israelinity,2024-11-20T08:24:19.000Z,False,I go lie for you again?,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1807000779934334976/63umz-6s_bigger.jpg,https://x.com/israelinity/status/1859150770454614135,tweet_id:1859150770454614135
jonaleeno Hewington,@JHewington,2024-11-20T08:24:17.000Z,False,Return the hostages if ceasefire is to be even considered sounds   a great option and sense for also saving lives of the instigaters of the attempted genocide on Israel!,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1537204946159996930/h05gVemu_bigger.jpg,https://x.com/JHewington/status/1859150763110322412,tweet_id:1859150763110322412
