Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Justyna M,@justyna793,2024-09-11T09:47:00.000Z,False,"This is what communities are dealing with, did VP Kamala see what the unvetted, illegal migrates are doing?  What will our country look like with another 4 years of this?",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1815100810633621506/FVSkCBjo_bigger.jpg,https://x.com/justyna793/status/1833804425481101339,tweet_id:1833804425481101339
Mary Kennedy,@MaryKennedy22,2024-09-11T09:46:59.000Z,False,I KNOW Kamala won the debate.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/378800000464540009/4c22012c62db2708e3f21231e450a8fa_bigger.jpeg,https://x.com/MaryKennedy22/status/1833804424612806797,tweet_id:1833804424612806797
love peace,@manhhahd0,2024-09-11T09:46:59.000Z,False,"lol. lol. The reason is that your Trump is still the same as it was 4 years ago, so I have to give you the same old description of Trump.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1648458743108239362/M9NI5_FG_bigger.jpg,https://x.com/manhhahd0/status/1833804423807791172,tweet_id:1833804423807791172
Mr Peroo,@petere7801,2024-09-11T09:46:59.000Z,True,"Almost every democrat can beat Trump. If they play their cards right. Hence I never doubted her or even Biden, till he started actually verifiably medically declining in front of everyone and this manifested in full glare at his debate. 

America and the world has tasted Trump,",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1818588686495211520/JKg07VKF_bigger.jpg,https://x.com/petere7801/status/1833804423773958308,tweet_id:1833804423773958308
LaingLaing,@Zi_ALiEn,2024-09-11T09:46:59.000Z,False,Thks !,0,0,0,0,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/Zi_ALiEn/status/1833804423450988773,tweet_id:1833804423450988773
Top Cat,@IsaiahHoward_,2024-09-11T09:46:59.000Z,True,Ima RT and quote this video everyday until Election Day. Idiot ass democrats trying to make Trump seem crazy… WTF IS THIS?!?!?,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1828993571573141504/Apg9E99Z_bigger.jpg,https://x.com/IsaiahHoward_/status/1833804423279116478,tweet_id:1833804423279116478
C. V. Lago,@mermaid2021L,2024-09-11T09:46:59.000Z,False,"During the presidential debate, Trump refused to say that he would like Ukraine to win the war and chose Victor Urban among world political leaders",0,0,0,0,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,https://x.com/mermaid2021L/status/1833804422826099035,tweet_id:1833804422826099035
Mamby Pamby Land,@validated2022,2024-09-11T09:46:59.000Z,False,"There is no stereotype on Trump voters. Only the left says this. I am a college educated nurse. Previously a HS drop out. My kids are average to above average students. We work hard. My husband of twenty year, HS drop out makes more than most college educated kids.  labels",0,0,0,0,[],[],['\\U0001f6ab'],https://pbs.twimg.com/profile_images/1825179989110579200/eax_hGQW_bigger.jpg,https://x.com/validated2022/status/1833804422645715359,tweet_id:1833804422645715359
Donna Jollota,@DJollota,2024-09-11T09:46:59.000Z,False,Book your ticket now. President Trump will make America great again.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1489285876127522827/t_6bKAXo_bigger.jpg,https://x.com/DJollota/status/1833804422004031555,tweet_id:1833804422004031555
Sarah Dreading,@DreadingSa82392,2024-09-11T09:46:58.000Z,False,"Yes, for commies named kamala! Kami girl ,come after mine , I so want to give IT to you.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1644708140061974529/afEgye8S_bigger.png,https://x.com/DreadingSa82392/status/1833804420376567867,tweet_id:1833804420376567867
Abaddon,@Onyx489234,2024-09-11T09:46:58.000Z,True,"For the conservative pukes who pushed the false narrative that  was becoming a “trump girl”.

Here’s your “trump girl” saying she dislikes yall use of AI with her in pro trump gear, and she endorses Kamala Harris!

Get cooked!",0,0,0,0,[],['@taylorswift13'],[],https://pbs.twimg.com/profile_images/1803058780982198273/kckbH8v2_bigger.jpg,https://x.com/Onyx489234/status/1833804419315466240,tweet_id:1833804419315466240
Stephen Smith,@Stephen60354901,2024-09-11T09:46:58.000Z,False,"trump, the crazy old man shouting at the clouds. Hahaha",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1662035250539827200/QKs_LU_u_bigger.png,https://x.com/Stephen60354901/status/1833804419286335821,tweet_id:1833804419286335821
Krs,@fairdinkumXX,2024-09-11T09:46:58.000Z,False,Ahhh on content Kamala is a fking LIAR!,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1636626393999220736/D-WU8b1r_bigger.jpg,https://x.com/fairdinkumXX/status/1833804418724094066,tweet_id:1833804418724094066
Roll with the Punches,@FourYearW3ak,2024-09-11T09:46:58.000Z,False,"That’s a stretch, bud.

Was 9/11 an attack on our democracy? Or was it a terrorist attack carried out by foreigners?

Just accept that she crushed Trump in the debate.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1345525129732902912/-DFWZsuI_bigger.jpg,https://x.com/FourYearW3ak/status/1833804417289650270,tweet_id:1833804417289650270
(C)onnor Stacy AAP,@ConnorStacy3,2024-09-11T09:46:58.000Z,True,Kamala knows it was a lie and still ran with it,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1812256569968484352/f4ulM1IG_bigger.jpg,https://x.com/ConnorStacy3/status/1833804417016934909,tweet_id:1833804417016934909
GokuTrades ⵣ,@313Maghrebi,2024-09-11T09:46:58.000Z,False,I used to love Trump. However it seems as if he’s pushing the Israel agenda a little far this year . He’s still the lesser of the 2 evils . #Trump2024 Kamala would demolish the states rapidly .,0,0,0,0,['#Trump2024'],[],[],https://pbs.twimg.com/profile_images/1833755465865441280/k9nK0rig_bigger.jpg,https://x.com/313Maghrebi/status/1833804416845066474,tweet_id:1833804416845066474
Peashooter is missing The Bad Batch & SU,@yelllowdiamond,2024-09-11T09:46:57.000Z,True,Reason why she could do it and Trump couldn’t is because she actually injected her authority into Pence. He tried too hard to “epically own her” but because Kamala doesn’t give a shit it falls flat.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1832596844829962240/nXWNZjxn_bigger.jpg,https://x.com/yelllowdiamond/status/1833804416043851894,tweet_id:1833804416043851894
Justin Hart,@justin_hart,2024-09-11T09:46:57.000Z,True,"Hilarious. My timeline:
- “Trump 100% won the debate!”
*same person 5 mins later*
- “She was wearing secret earings which fed her the answers and that’s why she won!”",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1610041306260332545/4l8VlN8j_bigger.jpg,https://x.com/justin_hart/status/1833804415817638048,tweet_id:1833804415817638048
Catarina Sousa Mendes,@CatarinaMendes,2024-09-11T09:46:57.000Z,False,Do not talk about democracy. You have already ruined it!! Trump-Vance 2024,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1598039929405247508/OX4_jbn8_bigger.jpg,https://x.com/CatarinaMendes/status/1833804415192408396,tweet_id:1833804415192408396
Robert,@UnamedLocation,2024-09-11T09:46:57.000Z,False,That may be true but Trump still had  a bad night . He couldn’t hold it together for 90 minutes and bit on every teak she sent his way -he had an opportunity to end her run last night and may have just got her elected-,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1825347148033990656/VvT7b6Kf_bigger.jpg,https://x.com/UnamedLocation/status/1833804414689198088,tweet_id:1833804414689198088
Ray Olsson,@RayOlsson8,2024-09-11T09:46:57.000Z,False,"BECAUSE HE ORCHESTRATED IT Trump accepted his advice because of his postion as the #1 Dr. of infectious disease . . . BUT, Trump first suggested HCQ & Ivermection and was riduculed. THEN, Fauci got those meds DISAPPEOVED so that the ""experimental"" drug could be forced",0,0,0,0,[],[],['\\u203c\\ufe0f'],https://pbs.twimg.com/profile_images/1634355162658791424/pY1QRrJR_bigger.jpg,https://x.com/RayOlsson8/status/1833804413968019694,tweet_id:1833804413968019694
#ThePivotTrick,@DiscountingQ,2024-09-11T09:46:57.000Z,False,"Trump used violent rhetoric about 50 times during the #debate.

It's a trick folks.

Getting you to fear your neighbors.

So you vote incorrectly.",0,0,0,0,['#debate'],[],[],https://pbs.twimg.com/profile_images/1791993345587208192/rMfInQo8_bigger.jpg,https://x.com/DiscountingQ/status/1833804413799911892,tweet_id:1833804413799911892
